TYPE_OF_CANCER_ID	CANCER_NAME
aa	AggressiveAngiomyxoma
aastr	AnaplasticAstrocytoma
abc	ActivatedB-cellType
abl	AcuteBasophilicLeukemia
aca	AdrenocorticalAdenoma
acbc	AdenoidCysticBreastCancer
acc	AdrenocorticalCarcinoma
accc	AcinicCellCarcinoma
acml	AtypicalChronicMyeloidLeukemia,BCR-ABL1-
acn	AcinarCellCarcinoma,NOS
acpg	Craniopharyngioma,AdamantinomatousType
acpp	AtypicalChoroidPlexusPapilloma
acrm	AcralMelanoma
acyc	AdenoidCysticCarcinoma
adma	Adamantinoma
adnos	Adenocarcinoma,NOS
adpa	AggressiveDigitalPapillaryAdenocarcinoma
adrenal_gland	AdrenalGland
aeca	SweatGlandCarcinoma/ApocrineEccrineCarcinoma
afh	AngiomatoidFibrousHistiocytoma
afx	AtypicalFibroxanthoma
aga	AnalGlandAdenocarcinoma
agng	AnaplasticGanglioglioma
ahcd	AlphaHeavy-ChainDisease
ais	AdenocarcinomaInSitu
aitl	AngioimmunoblasticT-CellLymphoma
alal	AcuteLeukemiasofAmbiguousLineage
alcl	AnaplasticLargeCellLymphoma
alclalkn	AnaplasticLarge-CellLymphomaALKNegative
alclalkp	AnaplasticLarge-CellLymphomaALKPositive
alklbcl	ALKPositiveLargeB-CellLymphoma
aluca	AtypicalLungCarcinoid
am	AMLwithMaturation
ambl	LargeCell/AnaplasticMedulloblastoma
amkl	AcuteMegakaryoblasticLeukemia
aml	AcuteMyeloidLeukemia
amlbcrabl1	AMLwithBCR-ABL1
amlcbfbmyh11	AMLwithinv(16)(p13.1q22)ort(16;16)(p13.1;q22);CBFB-MYH11
amlcebpa	AMLwithBiallelicMutationsofCEBPA
amldeknup214	AMLwitht(6;9)(p23;q34.1);DEK-NUP214
amlgata2mecom	AMLwithinv(3)(q21.3q26.2)ort(3;3)(q21.3;q26.2);GATA2,MECOM
amlmd	AMLwithMinimalDifferentiation
amlmllt3kmt2a	AMLwitht(9;11)(p21.3;q23.3);MLLT3-KMT2A
amlmrc	AMLwithMyelodysplasia-RelatedChanges
amlnos	AML,NOS
amlnpm1	AMLwithMutatedNPM1
amlrbm15mkl1	AML(megakaryoblastic)witht(1;22)(p13.3;q13.3);RBM15-MKL1
amlrga	AMLwithRecurrentGeneticAbnormalities
amlrunx1	AMLwithMutatedRUNX1
amlrunx1runx1t1	AMLwitht(8;21)(q22;q22.1);RUNX1-RUNX1T1
amml	AcuteMyelomonocyticLeukemia
amol	AcuteMonoblastic/MonocyticLeukemia
ampca	AmpullaryCarcinoma
ampulla_of_vater	AmpullaofVater
an	AtypicalNevus
angl	AngiocentricGlioma
angs	Angiosarcoma
ankl	AggressiveNK-CellLeukemia
anm	AnaplasticMeningioma
ansc	AnalSquamousCellCarcinoma
aoast	AnaplasticOligoastrocytoma
aodg	AnaplasticOligodendroglioma
apad	AppendicealAdenocarcinoma
ape	AnaplasticEpendymoma
aplpmlrara	APLwithPML-RARA
apmf	AcutePanmyelosiswithMyelofibrosis
aptad	AtypicalPituitaryAdenoma
apxa	AnaplasticPleomorphicXanthoastrocytoma
armm	AnorectalMucosalMelanoma
arms	AlveolarRhabdomyosarcoma
asct	AdenosquamousCarcinomaoftheTongue
asm	AggressiveSystemicMastocytosis
asps	AlveolarSoftPartSarcoma
astb	Astroblastoma
astr	Astrocytoma
atll	AdultT-CellLeukemia/Lymphoma
atm	AtypicalMeningioma
atrt	AtypicalTeratoid/RhabdoidTumor
aul	AcuteUndifferentiatedLeukemia
awdnet	Well-DifferentiatedNeuroendocrineTumoroftheAppendix
awm	AMLwithoutMaturation
ba	BreastAngiosarcoma
bcc	BasalCellCarcinoma
bcca	Choriocarcinoma
bclu	B-CellLymphoma,Unclassifiable,withFeaturesIntermediatebetweenDLBCLandClassicalHodgkinlymphoma
bec	EmbryonalCarcinoma
bfn	BreastFibroepithelialNeoplasms
bgct	GermCellTumor,Brain
bialcl	BreastImplant-AssociatedAnaplasticLarge-CellLymphoma
biliary_tract	BiliaryTract
bimt	ImmatureTeratoma
bl	BurkittLymphoma
blad	BladderAdenocarcinoma
bladder	Bladder/UrinaryTract
blca	BladderUrothelialCarcinoma
blclc	BasaloidLargeCellCarcinomaoftheLung
bll	B-LymphoblasticLeukemia/Lymphoma
bll11q	Burkitt-LikeLymphomawith11qAberration
bllbcrabl1	B-LymphoblasticLeukemia/Lymphomawitht(9;22)(q34.1;q11.2);BCR-ABL1
bllbcrabl1l	B-LymphoblasticLeukemia/Lymphoma,BCR-ABL1Like
blletv6runx1	B-LymphoblasticLeukemia/Lymphomawitht(12;21)(p13.2;q22.1);ETV6-RUNX1
bllhyper	B-LymphoblasticLeukemia/LymphomawithHyperdiploidy
bllhypo	B-LymphoblasticLeukemia/LymphomawithHypodiploidy
blliamp21	B-LymphoblasticLeukemia/LymphomawithiAMP21
bllil3igh	B-LymphoblasticLeukemia/Lymphomawitht(5;14)(q31.1;q32.3)IL3-IGH
bllkmt2a	B-LymphoblasticLeukemia/Lymphomawitht(v;11q23.3);KMT2ARearranged
bllnos	B-LymphoblasticLeukemia/Lymphoma,NOS
bllrga	B-LymphoblasticLeukemia/LymphomawithRecurrentGeneticAbnormalities
blltcf3pbx1	B-LymphoblasticLeukemia/Lymphomawitht(1;19)(q23;p13.3);TCF3-PBX1
blpt	BorderlinePhyllodesTumoroftheBreast
blsc	BladderSquamousCellCarcinoma
bmgct	MixedGermCellTumor
bmgt	MalignantTeratoma
bmt	MatureTeratoma
bnnos	BreastNeoplasm,NOS
bone	Bone
bowel	Bowel
bpdcn	BlasticPlasmacytoidDendriticCellNeoplasm
bpll	B-CellProlymphocyticLeukemia
bpscc	BasaloidPenileSquamousCellCarcinoma
bpt	BenignPhyllodesTumoroftheBreast
brain	CNS/Brain
brame	AdenomyoepitheliomaoftheBreast
brca	InvasiveBreastCarcinoma
brcanos	BreastInvasiveCancer,NOS
brcnos	BreastInvasiveCarcinoma,NOS
breast	Breast
brsrcc	BreastCarcinomawithSignetRing
btbeov	BrennerTumor,Benign
btbov	BrennerTumor,Borderline
btmov	BrennerTumor,Malignant
btov	BrennerTumor
byst	YolkSacTumor
cabc	CervicalAdenoidBasalCarcinoma
cacc	CervicalAdenoidCysticCarcinoma
cais	ColonAdenocarcinomaInSitu
ccbov	ClearCellBorderlineOvarianTumor
cce	ClearCellEpendymoma
cchdm	ConventionalTypeChordoma
cchm	CarcinomawithChondroidMetaplasia
cclc	ClearCellCarcinomaoftheLung
ccm	ClearcellMeningioma
ccoc	ClearCellOdontogenicCarcinoma
ccov	ClearCellOvarianCancer
ccprc	ClearCellPapillaryRenalCellCarcinoma
ccrcc	RenalClearCellCarcinoma
ccs	ClearCellSarcoma
ccsk	ClearCellSarcomaofKidney
cdrcc	CollectingDuctRenalCellCarcinoma
cead	CervicalAdenocarcinoma
ceais	CervicalAdenocarcinomaInSitu
ceas	CervicalAdenosquamousCarcinoma
cecc	CervicalClearCellCarcinoma
ceen	CervicalEndometrioidCarcinoma
cegcc	GlassyCellCarcinomaoftheCervix
celi	CervicalLeiomyosarcoma
celnos	ChronicEosinophilicLeukemia,NOS
cemn	MesonephricCarcinoma
cemu	MucinousCarcinoma
cene	CervicalNeuroendocrineTumor
cerms	CervicalRhabdomyosarcoma
cervix	Cervix
cesc	CervicalSquamousCellCarcinoma
cese	CervicalSerousCarcinoma
cevg	VilloglandularCarcinoma
chbl	Chondroblastoma
chdm	Chordoma
chgl	ChordoidGliomaoftheThirdVentricle
chl	ClassicalHodgkinLymphoma
chlptld	ClassicalHodgkinLymphomaPTLD
chm	CompleteHydatidiformMole
chol	Cholangiocarcinoma
chom	ChordoidMeningioma
chos	ChondroblasticOsteosarcoma
chrcc	ChromophobeRenalCellCarcinoma
chs	Chondrosarcoma
cllsll	ChronicLymphocyticLeukemia/SmallLymphocyticLymphoma
clnc	CerebellarLiponeurocytoma
clpdnk	ChronicLymphoproliferativeDisorderofNKCells
cm	ConjunctivalMelanoma
cmc	MedullaryCarcinomaoftheColon
cmcd	CutaneousMastocytosis
cml	ChronicMyelogenousLeukemia
cmlbcrabl1	ChronicMyeloidLeukemia,BCR-ABL1+
cmml	ChronicMyelomonocyticLeukemia
cmml0	ChronicMyelomonocyticLeukemia-0
cmml1	ChronicMyelomonocyticLeukemia-1
cmml2	ChronicMyelomonocyticLeukemia-2
cmpt	CiliatedMuconodularPapillaryTumoroftheLung
cnc	CentralNeurocytoma
cnl	ChronicNeutrophilicLeukemia
coad	ColonAdenocarcinoma
coadread	ColorectalAdenocarcinoma
com	CarcinomawithOsseousMetaplasia
cpc	ChoroidPlexusCarcinoma
cpp	ChoroidPlexusPapilloma
cpt	ChoroidPlexusTumor
cscc	CutaneousSquamousCellCarcinoma
cschw	CellularSchwannoma
csclc	CombinedSmallCellLungCarcinoma
csnos	BreastInvasiveCarcinosarcoma,NOS
ctaap	ColonicTypeAdenocarcinomaoftheAppendix
cup	CancerofUnknownPrimary
cupnos	CancerofUnknownPrimary,NOS
da	DuodenalAdenocarcinoma
dastr	DiffuseAstrocytoma
dcis	BreastDuctalCarcinomaInSitu
dcs	DendriticCellSarcoma
ddchdm	DedifferentiatedChordoma
ddchs	DedifferentiatedChondrosarcoma
ddls	DedifferentiatedLiposarcoma
des	Desmoid/AggressiveFibromatosis
desm	DesmoplasticMelanoma
df	Dermatofibroma
dfl	Duodenal-TypeFollicularLymphoma
dfsp	DermatofibrosarcomaProtuberans
dia	DesmoplasticInfantileAstrocytoma
difg	DiffuseGlioma
dig	DesmoplasticInfantileGanglioglioma
dipg	DiffuseIntrinsicPontineGlioma
dlbclci	DLBCLAssociatedwithChronicInflammation
dlbclnos	DiffuseLargeB-CellLymphoma,NOS
dmbl	Desmoplastic/NodularMedulloblastoma
dnt	DysembryoplasticNeuroepithelialTumor
dsrct	DesmoplasticSmall-Round-CellTumor
dstad	DiffuseTypeStomachAdenocarcinoma
dte	DesmoplasticTrichoepithelioma
eatl	Enteropathy-AssociatedT-CellLymphoma
ebov	EndometrioidBorderlinOvarianTumor
ebvdlbclnos	EBVPositiveDLBCL,NOS
ebvmcu	EBVPositiveMucocutaneousUlcer
ecad	EndocervicalAdenocarcinoma
ecd	Erdheim-ChesterDisease
egc	EsophagogastricAdenocarcinoma
egct	ExtraGonadalGermCellTumor
ehae	EpithelioidHemangioendothelioma
ehch	ExtrahepaticCholangiocarcinoma
emalt	ExtranodalMarginalZoneLymphomaofMucosa-AssociatedLymphoidTissue(MALTlymphoma)
embc	EpithelialTypeMetaplasticBreastCancer
embca	EmbryonalCarcinoma
embt	EmbryonalTumor
emchs	ExtraskeletalMyxoidChondrosarcoma
empd	ExtramammaryPagetDisease
